STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,indx,Index,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag)
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,IE,Ireland,2019-01,,94.3,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,IE,Ireland,2023-01,,105.4,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,IS,Iceland,2019-01,,105.23,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,IS,Iceland,2023-01,,130.86,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,IT,Italy,2019-01,,104.7,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,IT,Italy,2023-01,,124.2,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,LT,Lithuania,2019-01,,107.79,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,LT,Lithuania,2023-01,,168.00,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,LU,Luxembourg,2019-01,,108.01,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,LU,Luxembourg,2023-01,,128.35,,,
